What is your name?,What is your gender?,What was your course in UG?,What is your UG specialization? Major Subject (Eg; Mathematics),What are your interests?,What are your skills ? (Select multiple if necessary),What was the average CGPA or Percentage obtained in under graduation?,Did you do any certification courses additionally?,"If yes, please specify your certificate course title.",Are you working?,"If yes, then what is/was your first Job title in your current field of work? If not applicable, write NA.","Have you done masters after undergraduation? If yes, mention your field of masters.(Eg; Masters in Mathematics)"
Ivan Gunawan,Male,Ekonomi Pembangunan,Ekonomi Regional,"Moneter, Perbankan, Keuangan Publik","MS Excel, Statistik, Data Analysis",7.55,Yes,NA,Yes,Staf Pemerintahan,NA
Krisna Bayu,Male,Ilmu Komunikasi,Komunikasi Digital,"Public Relations, Branding, Komunikasi","Social Media, Content Creation, SEO",8.82,Yes,NA,No,,MA Jurnalistik
Ivan Gunawan,Male,B.Sc,Mathematics,"Data Science, Analytics, AI","Python, R, MATLAB, Statistics",7.06,Yes,R Programming,No,NA,NA
Yoga Aditya,Male,Sistem Informasi,Manajemen Sistem Informasi,"IT Project Management, Konsultasi","Python, Tableau, Power BI, SQL",6.44,No,NA,Yes,System Analyst,Masters in Information Systems
Ivan Gunawan,Female,Teknik Elektro,Tenaga Listrik,"Elektronika, Embedded Systems, IoT","AutoCAD Electrical, ETAP, MATLAB",7.32,No,NA,Yes,Electrical Engineer,NA
Putri Ayu,Male,B.Com,Commerce,"Finance, Accounting, Business","Financial Modeling, Excel, SAP",6.12,Yes,CFA Level 1,Yes,Tax Consultant,NA
Irfan Maulana,Female,BCA,Computer Applications,"Cybersecurity, Networking, Cloud","C++, Data Structures, Algorithms",7.55,No,NA,Yes,Data Analyst,MCA
Vino Pratama,Male,Ekonomi Pembangunan,Perencanaan Pembangunan,"Perdagangan Internasional, Ekspor Impor","Kebijakan Publik, Riset, Laporan",6.16,No,NA,No,NA,NA
Wulan Sari,Female,Manajemen,Manajemen Pemasaran,"Bisnis, Pemasaran, Strategi","Marketing, Branding, Social Media",9.0,Yes,NA,Yes,Product Manager,NA
Qori Annisa,Male,Psikologi,Psikologi Pendidikan,"Penelitian, Asesmen, Psikometri","Konseling, Wawancara, Empati",9.45,No,NA,Yes,Career Counselor,Magister Psikologi
Mohammad Rizki,Male,B.Sc,Computer Science,"Research, Mathematics, Statistics","Data Analysis, Machine Learning, SQL",7.12,Yes,R Programming,Yes,Data Scientist,NA
Putri Ayu,Female,Sistem Informasi,E-Business,"Database, Data Management, BI","Python, Tableau, Power BI, SQL",7.97,No,NA,No,NA,NA
Evan Setiawan,Female,Kelautan,Oseanografi,"Konservasi Laut, Ekosistem, Terumbu Karang","Remote Sensing, Citra Satelit, Analisis",7.49,Yes,GIS Certification,Yes,Konsultan Lingkungan Laut,NA
Putri Ayu,Female,Ekonomi Pembangunan,Ekonomi Internasional,"Moneter, Perbankan, Keuangan Publik","Kebijakan Publik, Riset, Laporan",9.38,No,NA,No,NA,Masters in Public Policy
Petra Wijaya,Male,Farmasi,Farmasi Klinis,"Farmasi Klinis, Obat, Pasien","Penelitian, Laboratorium, Analisis",6.66,Yes,,Yes,QC Analyst,Sp. Farmasi Klinis
Omar Hakim,Female,Hubungan Internasional,Politik Internasional,"Diplomasi, Politik Luar Negeri, Negosiasi","Bahasa Inggris, Bahasa Asing, Negosiasi",8.15,No,NA,Yes,Diplomat,NA
Ragil Saputro,Female,Perikanan,Manajemen Sumberdaya Perairan,"Budidaya Ikan, Akuakultur, Tambak","Budidaya Ikan, Kualitas Air, Pakan",7.78,Yes,Sertifikasi Akuakultur,No,NA,NA
Dita Maharani,Male,Sistem Informasi,Manajemen Sistem Informasi,"Database, Data Management, BI","PHP, MySQL, Web Development",9.06,Yes,SAP Certified,Yes,Database Administrator,NA
Kevin Surya,Male,Perikanan,Sosial Ekonomi Perikanan,"Pengolahan Ikan, Teknologi Pangan","GIS, Pemetaan Perairan, Analisis",8.67,Yes,NA,Yes,Teknolog Pangan Perikanan,NA
Ivan Gunawan,Male,Hukum,Hukum Pidana,"Hukum Bisnis, Kontrak, Korporasi","Legal Drafting, Analisis Hukum, Riset",9.27,Yes,NA,Yes,Notaris,Masters in Law
Vina Melati,Female,Farmasi,Farmasi Industri,"Penelitian, Farmakologi, Drug Discovery","Penelitian, Laboratorium, Analisis",6.76,No,NA,Yes,,NA
Miko Prasetyo,Female,Hubungan Internasional,Organisasi Internasional,"Diplomasi, Politik Luar Negeri, Negosiasi","Komunikasi, Presentasi, Diplomasi",7.35,No,NA,No,NA,Masters in International Law
Qirana Putri,Female,Ekonomi Pembangunan,Ekonomi Moneter,"Perdagangan Internasional, Ekspor Impor","Kebijakan Publik, Riset, Laporan",8.79,Yes,CFA Level 1,No,NA,NA
Xena Pratiwi,Male,Desain Komunikasi Visual,Desain Grafis,"Desain Grafis, Branding, Visual","Figma, Adobe XD, Sketch, Prototyping",7.56,No,NA,Yes,UI/UX Designer,Masters in UX
Budi Santoso,Male,B.Tech,Electronics,"IoT, Embedded Systems, Robotics","Python, Java, C++, SQL",8.33,No,NA,No,NA,Masters in Engineering
Putri Ayu,Male,Farmasi,Bioteknologi Farmasi,"Farmasi Klinis, Obat, Pasien","Compounding, Dispensing, Farmakologi",7.39,No,NA,No,NA,Masters in Pharmacy
Xena Pratiwi,Female,B.Sc,Physics,"Physics, Research, Innovation","Research, Lab Skills, Report Writing",7.83,Yes,,Yes,Research Analyst,NA
Vina Melati,Female,Sistem Informasi,E-Business,"Database, Data Management, BI","PHP, MySQL, Web Development",9.6,Yes,CBAP,No,NA,NA
Vino Pratama,Female,Kedokteran,Kedokteran Gigi,"Penelitian Medis, Farmakologi","Tindakan Medis, Jahit Luka, Infus",7.81,No,NA,No,NA,NA
Jeni Kurniawan,Male,Perkapalan,Teknik Sistem Perkapalan,"Offshore, Migas, Industri Maritim","AutoCAD, Maxsurf, Ship Design",7.62,No,,Yes,Offshore Engineer,NA
Tegar Wicaksono,Female,BA,Political Science,"Writing, Communication, Media","MS Office, Content Writing, SEO",9.17,No,NA,No,NA,NA
Miko Prasetyo,Male,Farmasi,Farmasi Klinis,"Farmasi Klinis, Obat, Pasien","Penelitian, Laboratorium, Analisis",8.69,Yes,STRA Apoteker,No,NA,
Oscar Firmansyah,Male,Hukum,Hukum Internasional,"Hukum Bisnis, Kontrak, Korporasi","Negosiasi, Mediasi, Komunikasi",7.57,Yes,Legal Drafting Certification,Yes,Jaksa,MH Hukum Bisnis
Julia Permata,Female,Kelautan,Konservasi Sumber Daya Laut,"Konservasi Laut, Ekosistem, Terumbu Karang","Remote Sensing, Citra Satelit, Analisis",8.82,No,,No,NA,NA
Taufik Hidayat,Male,B.Sc,Mathematics,"Research, Mathematics, Statistics","Data Analysis, Machine Learning, SQL",8.4,Yes,R Programming,Yes,Electronics Engineer,Masters in Mathematics
Omar Hakim,Male,Sistem Informasi,Manajemen Sistem Informasi,"IT Project Management, Konsultasi","PHP, MySQL, Web Development",7.6,Yes,NA,Yes,Database Administrator,NA
Tegar Wicaksono,Male,Perkapalan,Teknik Perkapalan,"Offshore, Migas, Industri Maritim","AutoCAD, Maxsurf, Ship Design",7.35,Yes,NA,Yes,Ship Designer,NA
Zara Nabila,Male,Hubungan Internasional,Organisasi Internasional,"Organisasi Internasional, PBB, NGO","Analisis Politik, Riset, Laporan",8.41,No,,Yes,Analis Politik,NA
Julia Permata,Female,Perikanan,Sosial Ekonomi Perikanan,"Manajemen Sumber Daya, Konservasi","Budidaya Ikan, Kualitas Air, Pakan",7.95,No,NA,Yes,Peneliti Perikanan,Magister Perikanan
Nita Anggraini,Male,Ilmu Komunikasi,Periklanan,"Jurnalistik, Media, Penulisan Berita","Public Speaking, Media Relations, Canva",6.48,No,NA,No,NA,NA
Kevin Surya,Male,Sastra Inggris,Linguistik,"Penerjemahan, Bahasa, Linguistik","Mengajar, Kurikulum, TOEFL",6.11,Yes,TEFL Certification,Yes,Editor,NA
Ivan Gunawan,Female,Perkapalan,Teknik Perkapalan,"Offshore, Migas, Industri Maritim","Solidworks, ANSYS, Analisis Struktur",8.02,No,NA,Yes,,NA
Cahyo Wibowo,Male,B.Sc,Physics,"Research, Mathematics, Statistics","Research, Lab Skills, Report Writing",8.18,No,NA,No,NA,Masters in Physics
Wahyu Nugroho,Female,Ekonomi Pembangunan,Ekonomi Regional,"Moneter, Perbankan, Keuangan Publik","MS Excel, Statistik, Data Analysis",7.02,No,NA,Yes,Analis Kebijakan,NA
Shinta Dewi,Male,BA,Psychology,"Writing, Communication, Media","Public Speaking, Leadership, Teamwork",6.69,Yes,NA,No,NA,NA
Omar Hakim,Male,B.Sc,Computer Science,"Physics, Research, Innovation","Research, Lab Skills, Report Writing",7.03,No,NA,No,,NA
Fitri Handayani,Female,Kelautan,Konservasi Sumber Daya Laut,"Oseanografi, Penelitian Laut, Ekspedisi","Penelitian, Lab, Sampling, Analisis Data",7.43,No,NA,Yes,Marine Surveyor,NA
Krisna Bayu,Female,BA,Sociology,"Public Policy, Law, Governance","Communication, Writing, Research",5.67,No,NA,Yes,Content Writer,Masters in Journalism
Irfan Maulana,Female,Perikanan,Manajemen Sumberdaya Perairan,"Pengolahan Ikan, Teknologi Pangan","Budidaya Ikan, Kualitas Air, Pakan",8.23,No,NA,Yes,Penyuluh Perikanan,Masters in Aquaculture
Bella Safira,Male,Psikologi,Psikologi Klinis,"Konseling, Terapi, Kesehatan Mental","Konseling, Wawancara, Empati",8.03,Yes,HRBP Certification,No,NA,Magister Psikologi
Shinta Dewi,Male,Teknik Elektro,Kontrol dan Instrumentasi,"Elektronika, Embedded Systems, IoT","Arduino, Raspberry Pi, C++, IoT",7.46,Yes,Sertifikasi BNSP Elektro,No,NA,NA
Irfan Maulana,Male,Perkapalan,Teknik Perkapalan,"Offshore, Migas, Industri Maritim","Marine Engineering, Pemeliharaan Kapal",6.03,Yes,NA,No,NA,Masters in Marine Engineering
Fitri Handayani,Male,Akuntansi,Akuntansi Manajemen,"Akuntansi, Perpajakan, Keuangan","Perpajakan, e-SPT, Brevet",8.63,No,NA,No,NA,NA
Jeni Kurniawan,Female,Psikologi,Psikologi Klinis,"Penelitian, Asesmen, Psikometri","Psikotes, Asesmen, SPSS",7.16,Yes,NA,No,NA,Masters in Counseling
Eko Wahyudi,Male,Hubungan Internasional,Organisasi Internasional,"Organisasi Internasional, PBB, NGO","Bahasa Inggris, Bahasa Asing, Negosiasi",7.7,No,NA,No,NA,
Andi Pratama,Female,B.Sc,Physics,"Research, Mathematics, Statistics","Python, R, MATLAB, Statistics",9.51,No,NA,No,NA,NA
Nita Anggraini,Male,Farmasi,Farmakologi,"Farmasi Klinis, Obat, Pasien","QC, QA, GMP, HPLC",6.76,Yes,GMP Certification,No,NA,NA
Eko Wahyudi,Female,Pertanian,Hortikultura,"Teknologi Pertanian, Smart Farming, IoT","Budidaya Tanaman, Analisis Tanah, GIS",6.2,Yes,NA,Yes,Peneliti Pertanian,Masters in Agribusiness
Tegar Wicaksono,Male,B.Com,Economics,"Finance, Accounting, Business","Tally, MS Excel, Accounting",7.74,No,,No,NA,Masters in Accounting
Yogi Permana,Male,B.Tech,Electronics,"AI, Machine Learning, Deep Learning","TensorFlow, PyTorch, Machine Learning",8.04,No,NA,Yes,,NA
Xena Pratiwi,Male,Manajemen,Manajemen SDM,"Bisnis, Pemasaran, Strategi","Financial Planning, Budgeting, Excel",8.36,Yes,,Yes,Manajer Pemasaran,Masters in Management
Citra Dewi,Female,Manajemen,Manajemen Pemasaran,"Keuangan, Investasi, Bisnis","MS Excel, Business Analysis, PowerPoint",7.46,No,,No,NA,
Hesti Ratnasari,Male,Psikologi,Psikologi Sosial,"Konseling, Terapi, Kesehatan Mental","Psikotes, Asesmen, SPSS",9.27,No,,No,NA,NA
Vino Pratama,Male,Kedokteran,Spesialis Bedah,"Penelitian Medis, Farmakologi","Penelitian, Statistik Medis, SPSS",9.82,Yes,,Yes,Dokter Spesialis,Masters in Public Health
Andi Pratama,Female,Perikanan,Budidaya Perairan,"Manajemen Sumber Daya, Konservasi","Pengolahan Ikan, HACCP, Food Safety",8.89,No,NA,Yes,,NA
Reza Mahendra,Male,Perikanan,Budidaya Perairan,"Budidaya Ikan, Akuakultur, Tambak","GIS, Pemetaan Perairan, Analisis",7.4,No,NA,No,NA,Masters in Aquaculture
Krisna Bayu,Male,Ekonomi Pembangunan,Perencanaan Pembangunan,"Perdagangan Internasional, Ekspor Impor","Ekonometrika, SPSS, Eviews, Analisis",6.83,No,NA,No,NA,NA
Oscar Firmansyah,Male,Hukum,Hukum Pidana,"Litigasi, Advokasi, Peradilan","MS Word, Legal Research, Presentasi",6.37,Yes,Sertifikasi Notaris,No,NA,NA
Nina Kusuma,Female,Perkapalan,Konstruksi Kapal,"Sistem Perkapalan, Mekanikal, Elektrikal","Solidworks, ANSYS, Analisis Struktur",9.15,Yes,Class NK Certification,No,NA,
Wahyu Nugroho,Female,Psikologi,Psikologi Klinis,"Penelitian, Asesmen, Psikometri","Psikotes, Asesmen, SPSS",7.33,Yes,Sertifikasi Psikolog,No,NA,
Irfan Maulana,Male,B.Tech,Computer Science,"Software Engineering, Cloud, DevOps","Python, Java, C++, SQL",6.51,No,NA,No,,Masters in Engineering
Petra Wijaya,Female,Akuntansi,Akuntansi Manajemen,"Akuntansi, Perpajakan, Keuangan","MS Excel, Pivot, Financial Reporting",6.44,No,NA,Yes,Auditor,
Bella Safira,Male,Peternakan,Teknologi Hasil Ternak,"Budidaya Ternak, Produksi, Pemuliaan","Manajemen Ternak, Kesehatan Hewan, Vaksinasi",6.93,No,NA,Yes,Peternak Profesional,NA
Fitri Handayani,Female,BCA,Information Technology,"Programming, Web Development, Software","JavaScript, HTML, CSS, React",7.16,Yes,Python Certification,No,NA,NA
Galih Purnomo,Female,Ekonomi Pembangunan,Perencanaan Pembangunan,"Moneter, Perbankan, Keuangan Publik","Ekonometrika, SPSS, Eviews, Analisis",6.09,Yes,CFA Level 1,No,NA,NA
Gilang Ramadhan,Male,Manajemen,Manajemen Pemasaran,"Keuangan, Investasi, Bisnis","Financial Planning, Budgeting, Excel",8.86,Yes,Digital Marketing Google,No,NA,NA
Leni Susanti,Female,Psikologi,Psikologi Pendidikan,"Penelitian, Asesmen, Psikometri","Konseling, Wawancara, Empati",8.75,No,NA,Yes,Career Counselor,
Oscar Firmansyah,Male,BCA,Computer Applications,"Cybersecurity, Networking, Cloud","JavaScript, HTML, CSS, React",6.5,Yes,,No,NA,Masters in Data Science
Yogi Permana,Male,BA,History,"Psychology, Counseling, HR","Communication, Writing, Research",6.88,No,NA,Yes,Social Worker,NA
Omar Hakim,Female,Teknik Elektro,Telekomunikasi,"Elektronika, Embedded Systems, IoT","PLC, SCADA, Otomasi, Siemens",9.68,No,NA,Yes,Power Engineer,Masters in Telecommunication
Andi Pratama,Female,Kelautan,Ilmu Kelautan,"Oseanografi, Penelitian Laut, Ekspedisi","Penelitian, Lab, Sampling, Analisis Data",7.15,Yes,PADI Dive Master,No,NA,Masters in Oceanography
Omar Hakim,Male,Manajemen,Manajemen SDM,"Keuangan, Investasi, Bisnis","MS Excel, Business Analysis, PowerPoint",6.93,Yes,PMP Certification,No,NA,
Ulfah Rahmawati,Female,Ilmu Komunikasi,Public Relations,"Public Relations, Branding, Komunikasi","Public Speaking, Media Relations, Canva",9.09,No,NA,No,NA,NA
Kevin Surya,Female,Psikologi,Psikologi Klinis,"Konseling, Terapi, Kesehatan Mental","Psikotes, Asesmen, SPSS",6.56,No,NA,Yes,Psikolog,NA
Fitri Handayani,Female,Farmasi,Bioteknologi Farmasi,"Penelitian, Farmakologi, Drug Discovery","Compounding, Dispensing, Farmakologi",7.92,Yes,NA,Yes,Apoteker,Masters in Pharmacology
Ulfah Rahmawati,Female,Kelautan,Konservasi Sumber Daya Laut,"Konservasi Laut, Ekosistem, Terumbu Karang","Diving, Survei Laut, GIS, QGIS",6.35,No,NA,No,NA,Masters in Marine Science
Omar Hakim,Female,Peternakan,Nutrisi Ternak,"Budidaya Ternak, Produksi, Pemuliaan","Manajemen Ternak, Kesehatan Hewan, Vaksinasi",6.7,No,NA,Yes,Penyuluh Peternakan,Magister Peternakan
Fitri Handayani,Female,Hukum,Hukum Pidana,"Hukum Bisnis, Kontrak, Korporasi","Negosiasi, Mediasi, Komunikasi",7.26,No,NA,Yes,Notaris,NA
Julia Permata,Male,BCA,Computer Applications,"Cybersecurity, Networking, Cloud","JavaScript, HTML, CSS, React",9.17,No,NA,Yes,Mobile Developer,NA
Krisna Bayu,Male,Sastra Inggris,Pengajaran Bahasa Inggris,"Pengajaran, Pendidikan, TEFL","Penerjemahan, Bahasa Inggris, Riset",7.38,Yes,IELTS 7.0+,Yes,Editor,MA TEFL
Fitri Handayani,Female,Teknik Elektro,Tenaga Listrik,"Telekomunikasi, Jaringan, RF","Arduino, Raspberry Pi, C++, IoT",9.17,No,NA,No,NA,Masters in Electrical Engineering
Hesti Ratnasari,Female,Hukum,Hukum Perdata,"Hukum Internasional, Diplomasi","MS Word, Legal Research, Presentasi",8.0,No,NA,Yes,Jaksa,Masters in Law
Gilang Ramadhan,Male,B.Tech,Electronics,"IoT, Embedded Systems, Robotics","TensorFlow, PyTorch, Machine Learning",9.42,No,NA,No,NA,NA
Julia Permata,Female,Sistem Informasi,Sistem Informasi Bisnis,"Database, Data Management, BI","Python, Tableau, Power BI, SQL",8.55,Yes,,No,NA,NA
Fara Aulia,Male,Hukum,Hukum Pidana,"Litigasi, Advokasi, Peradilan","Negosiasi, Mediasi, Komunikasi",9.31,No,NA,No,NA,
Nina Kusuma,Female,Ilmu Komunikasi,Penyiaran,"Digital Marketing, Social Media, Konten","Public Speaking, Media Relations, Canva",8.87,Yes,,No,NA,NA
Lisa Amelia,Male,B.Com,Commerce,"Finance, Accounting, Business","Tally, MS Excel, Accounting",6.12,Yes,Financial Modeling,Yes,Business Analyst,NA
Ragil Saputro,Male,B.Tech,Information Technology,"AI, Machine Learning, Deep Learning","TensorFlow, PyTorch, Machine Learning",8.32,Yes,NA,No,NA,NA
Fitri Handayani,Female,Perikanan,Budidaya Perairan,"Pengolahan Ikan, Teknologi Pangan","Budidaya Ikan, Kualitas Air, Pakan",6.55,Yes,Sertifikasi Akuakultur,Yes,Teknolog Pangan Perikanan,NA
Ragil Saputro,Male,Perkapalan,Teknik Sistem Perkapalan,"Desain Kapal, Konstruksi, Naval Architecture","Marine Engineering, Pemeliharaan Kapal",6.64,Yes,Class NK Certification,No,NA,NA
Wahyu Nugroho,Female,Sistem Informasi,E-Business,"Sistem Informasi, ERP, Business Analysis","Python, Tableau, Power BI, SQL",7.12,No,NA,Yes,Business Analyst,NA
Gilang Ramadhan,Female,Peternakan,Produksi Ternak,"Nutrisi, Pakan Ternak, Formulasi","Formulasi Pakan, Nutrisi, Lab",8.18,No,NA,No,NA,NA
Miko Prasetyo,Female,BCA,Software Development,"Data Science, AI, Machine Learning","C++, Data Structures, Algorithms",6.96,Yes,NA,No,NA,NA
Tegar Wicaksono,Male,Ekonomi Pembangunan,Ekonomi Internasional,"Perdagangan Internasional, Ekspor Impor","MS Excel, Statistik, Data Analysis",6.78,No,NA,No,NA,NA
Sari Indah,Male,Manajemen,Manajemen Keuangan,"Bisnis, Pemasaran, Strategi","Financial Planning, Budgeting, Excel",6.91,Yes,CFA Level 1,Yes,Business Analyst,NA
Xena Pratiwi,Female,Desain Komunikasi Visual,Fotografi,"UI/UX, Product Design, Prototyping","Figma, Adobe XD, Sketch, Prototyping",8.98,No,NA,Yes,Visual Artist,NA
Hesti Ratnasari,Female,Sistem Informasi,Enterprise System,"Sistem Informasi, ERP, Business Analysis","SQL, SAP, Business Analysis, Excel",6.51,Yes,,No,NA,NA
Fara Aulia,Female,B.Sc,Physics,"Data Science, Analytics, AI","Research, Lab Skills, Report Writing",6.21,No,NA,No,NA,Masters in Physics
Fitri Handayani,Male,Perkapalan,Teknik Sistem Perkapalan,"Offshore, Migas, Industri Maritim","Solidworks, ANSYS, Analisis Struktur",7.49,No,NA,No,NA,Masters in Naval Architecture
Wulan Sari,Male,Desain Komunikasi Visual,Desain Grafis,"Animasi, Motion Graphics, Video","Adobe Illustrator, Photoshop, InDesign",8.19,Yes,,No,NA,NA
Eko Wahyudi,Male,Manajemen,Manajemen SDM,"Keuangan, Investasi, Bisnis","Marketing, Branding, Social Media",8.55,No,NA,No,NA,MM Keuangan
Zara Nabila,Male,Manajemen,Manajemen Pemasaran,"Bisnis, Pemasaran, Strategi","Financial Planning, Budgeting, Excel",9.45,Yes,PMP Certification,Yes,Manajer Pemasaran,NA
Qori Annisa,Male,Pertanian,Agroteknologi,"Teknologi Pertanian, Smart Farming, IoT","Budidaya Tanaman, Analisis Tanah, GIS",8.29,Yes,Sertifikasi Penyuluh Pertanian,Yes,Peneliti Pertanian,NA
Nina Kusuma,Male,BA,Sociology,"Psychology, Counseling, HR","Public Speaking, Leadership, Teamwork",5.87,No,NA,Yes,Public Relations,NA
Fara Aulia,Male,B.Tech,Civil,"Software Engineering, Cloud, DevOps","TensorFlow, PyTorch, Machine Learning",9.24,Yes,TensorFlow Developer,No,NA,NA
Evan Setiawan,Female,Perikanan,Manajemen Sumberdaya Perairan,"Budidaya Ikan, Akuakultur, Tambak","Budidaya Ikan, Kualitas Air, Pakan",8.28,Yes,NA,No,,Masters in Aquaculture
Petra Wijaya,Male,Hukum,Hukum Internasional,"Hukum Bisnis, Kontrak, Korporasi","Negosiasi, Mediasi, Komunikasi",7.58,Yes,Sertifikasi Notaris,Yes,Notaris,NA
Wulan Sari,Male,B.Tech,Computer Science,"Software Engineering, Cloud, DevOps","AWS, Docker, Kubernetes, DevOps",8.52,No,NA,No,NA,NA
Vina Melati,Male,Teknik Industri,Teknik Produksi,"Supply Chain, Logistik, Operasional","MS Project, ERP, SAP",9.46,No,NA,No,NA,NA
Irfan Maulana,Male,B.Tech,Information Technology,"Software Engineering, Cloud, DevOps","TensorFlow, PyTorch, Machine Learning",9.55,No,NA,No,NA,NA
Irfan Maulana,Female,Kelautan,Teknologi Kelautan,"Oseanografi, Penelitian Laut, Ekspedisi","Remote Sensing, Citra Satelit, Analisis",7.59,Yes,Remote Sensing Cert,No,NA,Magister Ilmu Kelautan
Shinta Dewi,Male,Pendidikan,PGSD,"Teknologi Pendidikan, E-Learning","E-Learning, LMS, Canva, Presentasi",7.3,No,,No,NA,Magister Pendidikan
Fara Aulia,Male,Sastra Inggris,Linguistik,"Pengajaran, Pendidikan, TEFL","Mengajar, Kurikulum, TOEFL",6.84,No,NA,Yes,Interpreter,NA
Cahyo Wibowo,Male,Ekonomi Pembangunan,Perencanaan Pembangunan,"Moneter, Perbankan, Keuangan Publik","Kebijakan Publik, Riset, Laporan",6.42,No,NA,Yes,Ekonom,
Miko Prasetyo,Female,B.Sc,Electronics,"Physics, Research, Innovation","Python, R, MATLAB, Statistics",8.42,No,NA,No,NA,NA
Jeni Kurniawan,Female,Desain Komunikasi Visual,Desain UI/UX,"Animasi, Motion Graphics, Video","Figma, Adobe XD, Sketch, Prototyping",6.4,Yes,Adobe Certified,No,NA,NA
Xena Pratiwi,Male,Pendidikan,Pendidikan Matematika,"Mengajar, Kurikulum, Pendidikan","Bimbingan, Konseling, Komunikasi",6.95,No,,Yes,Instruktur,Masters in Education
Tegar Wicaksono,Female,Akuntansi,Akuntansi Keuangan,"Audit, Compliance, Internal Control","SAP, Accurate, Jurnal Akuntansi",9.34,Yes,,No,NA,NA
Leni Susanti,Female,Teknik Elektro,Tenaga Listrik,"Telekomunikasi, Jaringan, RF","PLC, SCADA, Otomasi, Siemens",6.66,Yes,Sertifikasi BNSP Elektro,No,NA,NA
Wulan Sari,Male,Perikanan,Teknologi Hasil Perikanan,"Pengolahan Ikan, Teknologi Pangan","Pengolahan Ikan, HACCP, Food Safety",9.3,No,NA,Yes,Teknolog Pangan Perikanan,NA
Jeni Kurniawan,Female,Perikanan,Manajemen Sumberdaya Perairan,"Budidaya Ikan, Akuakultur, Tambak","Budidaya Ikan, Kualitas Air, Pakan",8.12,No,NA,No,NA,Magister Perikanan
Wulan Sari,Female,B.Tech,Civil,"AI, Machine Learning, Deep Learning","AWS, Docker, Kubernetes, DevOps",8.23,No,NA,No,NA,
Dian Rahayu,Male,BA,Psychology,"Psychology, Counseling, HR","Communication, Writing, Research",9.14,No,NA,Yes,Content Writer,NA
Gilang Ramadhan,Male,Ilmu Komunikasi,Komunikasi Digital,"Public Relations, Branding, Komunikasi","Penulisan, Editing, Wawancara",7.79,No,NA,Yes,Social Media Specialist,NA
Dian Rahayu,Male,Farmasi,Farmakologi,"Farmasi Klinis, Obat, Pasien","Penelitian, Laboratorium, Analisis",9.37,No,NA,Yes,Medical Representative,Sp. Farmasi Klinis
Lisa Amelia,Male,Manajemen,Manajemen Keuangan,"Bisnis, Pemasaran, Strategi","Marketing, Branding, Social Media",6.98,No,,Yes,Business Analyst,NA
Julia Permata,Female,BCA,Software Development,"Programming, Web Development, Software","C++, Data Structures, Algorithms",8.53,No,,No,NA,NA
Hesti Ratnasari,Male,Manajemen,Manajemen Pemasaran,"Keuangan, Investasi, Bisnis","Financial Planning, Budgeting, Excel",7.88,Yes,CFA Level 1,Yes,Business Analyst,NA
Hesti Ratnasari,Female,Hubungan Internasional,Diplomasi,"Diplomasi, Politik Luar Negeri, Negosiasi","Komunikasi, Presentasi, Diplomasi",7.57,Yes,IELTS 7.0+,Yes,Staf Kedutaan,NA
